SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
30.000000980607943,0.01960576,-0.10886226,-0.071303058,94609,1627913379,640944633
30.000000980607943,0.019607028000000002,-0.10886477900000001,-0.071296786,94610,1627913379,646849585
30.000000980607943,0.019608358000000003,-0.108856504,-0.07129648300000001,94611,1627913379,652903696
29.999998549922008,0.019616118000000002,-0.108831728,-0.07128100600000001,94612,1627913379,658955186
29.999998549922008,0.019610383000000002,-0.10881568800000001,-0.071272109,94613,1627913379,664982234
29.999998549922008,0.019606751000000002,-0.108829848,-0.071288433,94614,1627913379,670822226
30.00000363125284,0.019602426000000003,-0.10884504,-0.07128063100000001,94615,1627913379,676859041
30.00000363125284,0.019600537,-0.108851769,-0.071264381,94616,1627913379,682966985
30.00000363125284,0.019610765000000002,-0.10886061400000001,-0.071253305,94617,1627913379,688880703
30.000001982952625,0.019615109000000002,-0.10884779000000001,-0.071240355,94618,1627913379,694883415
30.000001982952625,0.01962561,-0.10884009200000001,-0.071250957,94619,1627913379,700909490
30.000001982952625,0.019632804,-0.10883089100000001,-0.071256184,94620,1627913379,706893202
30.000001982952625,0.019658417,-0.10883744000000001,-0.07125718,94621,1627913379,712877795
29.999999947636002,0.019669369000000003,-0.108847568,-0.071252627,94622,1627913379,718938221
29.999999947636002,0.019658759,-0.108849526,-0.071258681,94623,1627913379,724911496
29.999999947636002,0.019661191,-0.108838786,-0.071262246,94624,1627913379,730929745
29.999994089487934,0.019666184,-0.108826613,-0.071255724,94625,1627913379,736943115
29.999994089487934,0.019654256000000002,-0.108851736,-0.07125308500000001,94626,1627913379,742943580
29.999994089487934,0.019646317,-0.10884658500000001,-0.071258704,94627,1627913379,748948500
30.00000213608865,0.019655923000000002,-0.108876542,-0.071245557,94628,1627913379,754864761
30.00000213608865,0.019660058,-0.108895137,-0.07124678300000001,94629,1627913379,760838854
30.00000213608865,0.019659936000000003,-0.10889427800000001,-0.071256558,94630,1627913379,766892080
30.00000213608865,0.01966122,-0.108892867,-0.07125173,94631,1627913379,772926781
30.00000256208511,0.019670294,-0.10889093500000001,-0.07126248,94632,1627913379,778941883
