OMEGA,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
332.03192138671875,0.22819819400000002,-0.415542122,1.1088141470000001,2814182,1628166444,649052845
332.0407409667969,0.228351569,-0.41560865900000005,1.1088662770000002,2814183,1628166444,655136365
332.09063720703125,0.228543338,-0.415884407,1.1090599490000002,2814184,1628166444,661061089
332.1055908203125,0.22860380300000002,-0.41610431000000003,1.109065181,2814185,1628166444,667090852
332.1458435058594,0.22853593100000003,-0.416093557,1.108901382,2814186,1628166444,673031265
332.15777587890625,0.228474325,-0.41596934100000005,1.108814608,2814187,1628166444,679105315
332.21319580078125,0.22838768,-0.415853515,1.1088818200000001,2814188,1628166444,685067350
332.2666931152344,0.228243894,-0.415766367,1.1089593480000002,2814189,1628166444,691123303
332.2674560546875,0.228153295,-0.415658156,1.1089261810000002,2814190,1628166444,697024589
332.2978515625,0.22826257400000002,-0.41558712400000003,1.10892017,2814191,1628166444,703136544
332.2915954589844,0.228592922,-0.41573751800000003,1.108924846,2814192,1628166444,709095171
332.38934326171875,0.22885369500000002,-0.416097439,1.108845495,2814193,1628166444,715028770
332.3557434082031,0.22876111400000002,-0.416269641,1.1086923020000001,2814194,1628166444,721080257
332.4283447265625,0.22852601500000003,-0.416270819,1.108808732,2814195,1628166444,727134446
332.4701232910156,0.22810407200000002,-0.415922396,1.10927997,2814196,1628166444,733118055
332.4897766113281,0.22790531800000002,-0.415423401,1.10936677,2814197,1628166444,739021892
332.49127197265625,0.22821891000000002,-0.415702481,1.1089995000000001,2814198,1628166444,745094847
332.5077819824219,0.22869317400000003,-0.416066771,1.108560092,2814199,1628166444,751042928
332.5702819824219,0.228860307,-0.41624291500000005,1.108694928,2814200,1628166444,756977653
332.6269226074219,0.22866628700000002,-0.41637717,1.109146562,2814201,1628166444,762981080
332.5795593261719,0.22836608000000003,-0.41618459,1.109177996,2814202,1628166444,769031405
332.6424255371094,0.22800324400000002,-0.415602817,1.108941036,2814203,1628166444,775074602
332.6797790527344,0.22805871200000002,-0.41529084600000005,1.108832815,2814204,1628166444,781060645
332.6914978027344,0.228446787,-0.415563756,1.108851601,2814205,1628166444,787113609
332.71826171875,0.228715049,-0.415931363,1.108863996,2814206,1628166444,793068481
332.7864074707031,0.22871400400000003,-0.415999363,1.108844325,2814207,1628166444,799061693
332.8149108886719,0.22868142000000002,-0.416045331,1.108884671,2814208,1628166444,805111711
332.8241271972656,0.22841724000000002,-0.41593462800000003,1.1089125450000001,2814209,1628166444,811109533
332.8329772949219,0.22817963300000002,-0.415856418,1.108930293,2814210,1628166444,817088055
332.8882751464844,0.22797264800000003,-0.415439728,1.1090590660000001,2814211,1628166444,823059376
