CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
0.0,295.0,0.0007895023699999998,-0.00213720146,-0.00117994229
0.0,305.0,0.0006207680699999997,-0.00203627296,-0.00041190393999999996
0.0,315.0,0.0004171644699999996,-0.00192368271,0.00022959791000000003
0.0,325.0,0.00027835924999999976,-0.0016596393599999997,0.00054483109
0.0,335.0,0.00015133802999999977,-0.0012015537599999997,0.0005868683399999999
0.0,345.0,0.00010085476999999978,-0.00039779183999999994,0.0004195291200000001
0.0,355.0,1.0912875299760005e-05,8.869291127098327e-05,-2.696869784172659e-05
10.0,5.0,-0.00935140084186747,-0.06636178480722892,-0.015146505103915665
10.0,15.0,-0.00922982147,-0.06849187008,0.0020159402500000002
10.0,25.0,-0.009266533363636363,-0.06732914594949496,0.013165350626262624
10.0,35.0,-0.009183378539999999,-0.06416094799000001,0.02379478944
10.0,45.0,-0.009068883869999999,-0.05915172093,0.03383805201000001
10.0,55.0,-0.00904319502,-0.052525778489999994,0.04317851623
10.0,65.0,-0.008893047099009902,-0.04453442568316832,0.051489891148514856
10.0,75.0,-0.00874537522,-0.035391473400000005,0.05820712847000001
10.0,85.0,-0.008541085696969696,-0.025250100787878784,0.06312755296969698
10.0,95.0,-0.008387531574257426,-0.01417511815841584,0.06609481859405943
10.0,105.0,-0.008237464440000002,-0.0023946184899999996,0.06719733394
10.0,115.0,-0.007987477969999998,0.00962396145,0.06650193210000001
10.0,125.0,-0.007624447370000001,0.021369313220000002,0.06398340749
10.0,135.0,-0.007344598323232324,0.0321396437979798,0.05944769095959596
10.0,145.0,-0.006536662019999999,0.042852995020000006,0.05374869862
10.0,155.0,-0.00704282933,0.051334911469999994,0.044213424109999996
10.0,165.0,-0.00703441166,0.05884513561,0.03408801538
10.0,175.0,-0.007010779425742576,0.06469824528712871,0.02296452568316832
10.0,185.0,-0.006951119444444445,0.0684076717979798,0.011157150161616159
10.0,195.0,-0.006930368200000001,0.0696274404,-0.0011020729499999998
10.0,205.0,-0.0069462898500000005,0.06861283258,-0.01363609744
10.0,215.0,-0.006993902360000001,0.06547519734999999,-0.025919885750000003
10.0,225.0,-0.00705978283,0.060331841059999995,-0.03716881269
10.0,235.0,-0.007159524069306929,0.053210805326732676,-0.047195939613861385
10.0,245.0,-0.007306147191919192,0.044325917404040405,-0.05552828431313132
10.0,255.0,-0.00741869855,0.03373506749,-0.06205917648
10.0,265.0,-0.0072843786199999995,0.02248269364,-0.06744070300999999
10.0,275.0,-0.00797199023,0.010075079349999998,-0.06963169459
10.0,285.0,-0.008195352336633663,-0.0021409331287128713,-0.07005809240594059
10.0,295.0,-0.00843425282,-0.01418100301,-0.06810959860999999
10.0,305.0,-0.008697245190000001,-0.025736537950000003,-0.06390190072999999
10.0,315.0,-0.00888500371,-0.036406983,-0.05797240038999999
10.0,325.0,-0.0090573514,-0.045991369760000005,-0.05055146904
10.0,335.0,-0.00920825264,-0.05392807173,-0.041851269329999996
10.0,345.0,-0.00926525677,-0.06000644796000001,-0.03200972045
10.0,355.0,-0.009348682609625668,-0.0659652851671123,-0.01634128419919786
20.0,5.0,-0.0032997038252427185,-0.1059918293300971,-0.03262130664967638
20.0,15.0,-0.0031541115200000003,-0.11146332615,-0.004846405960000001
20.0,25.0,-0.00315485921,-0.11107584580000002,0.014038552740000002
20.0,35.0,-0.0031385336499999998,-0.10729445572000001,0.03235965325000001
