CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
20.0,105.0,0.039887916190000004,-0.18373528511,0.15842520184
20.0,115.0,0.04010723548,-0.15388447484,0.18739453412999998
20.0,125.0,0.04041712652000001,-0.11941421677000001,0.21092595493999997
20.0,135.0,0.04070397264646465,-0.08133175667676769,0.22788897463636362
20.0,145.0,0.04138326834653465,-0.04040323465346534,0.23808106838613857
20.0,155.0,0.041431108730000006,0.0018477276499999976,0.23998953417000002
20.0,165.0,0.04175549749,0.04404910362,0.23490642238
20.0,175.0,0.042064348040000005,0.08463921754,0.22297268414
20.0,185.0,0.04240009908910891,0.1230808021980198,0.20376301137623756
20.0,195.0,0.04269947911000001,0.15747434629999998,0.17814600517999996
20.0,205.0,0.04286109125000001,0.1863932197,0.14701423799999996
20.0,215.0,0.04296842815841586,0.20987480248514853,0.11123880682178218
20.0,225.0,0.043081369980198035,0.2271052181188119,0.07160648557425743
20.0,235.0,0.043082746881188114,0.23692903113861385,0.030297732564356437
20.0,245.0,0.04307347031000001,0.23929984125999998,-0.011591261080000002
20.0,255.0,0.04299632132,0.23401551669000004,-0.05270154806
20.0,265.0,0.04317855007,0.22209166181,-0.09260217330000002
20.0,275.0,0.04267054674257426,0.20277009718811886,-0.12950232283168317
20.0,285.0,0.042377154732673276,0.17786500169306932,-0.16261750513861392
20.0,295.0,0.04200862921000001,0.14812122028000002,-0.19040505009
20.0,305.0,0.04163356396,0.11373539036999998,-0.21206177729
20.0,315.0,0.041269209470000005,0.07557164592,-0.22758509236000002
20.0,325.0,0.04087073703000001,0.03526441251,-0.23627547701000004
20.0,335.0,0.04052431567676768,-0.005590080060606061,-0.23823287123232326
20.0,345.0,0.040173030240000004,-0.04637926294999998,-0.23304908819
20.0,355.0,0.039706431900050736,-0.103299682304414,-0.21360707816844243
30.0,5.0,0.07305987573,-0.13900774417,-0.28329504784000004
30.0,15.0,0.07267729836363637,-0.18624698926262626,-0.25423718365656567
30.0,25.0,0.07250779657,-0.22799090318999993,-0.21783245343999996
30.0,35.0,0.07222147773737374,-0.2628296056161617,-0.1751770984040404
30.0,45.0,0.07219163579,-0.2898037778,-0.12667836921
30.0,55.0,0.07193614892929294,-0.30771501378787874,-0.07446123507070707
30.0,65.0,0.07183107337,-0.31713153400000005,-0.019738399180000005
30.0,75.0,0.07191657343,-0.31726680127999995,0.03598733238000001
30.0,85.0,0.07227548433333333,-0.30796256315151516,0.0903842971919192
30.0,95.0,0.07246466277,-0.28875307912,0.14196733028
30.0,105.0,0.07260200011,-0.26066288382,0.18935312156999998
30.0,115.0,0.07279855184848485,-0.22459239973737377,0.23104952489898986
30.0,125.0,0.07304715315,-0.18197712269,0.26594918828
30.0,135.0,0.07342009722000001,-0.1332378951,0.2926599242
30.0,145.0,0.07390653565000001,-0.08094980815,0.31046958328999996
30.0,155.0,0.07432269963,-0.026130685879999994,0.31858872008999994
30.0,165.0,0.07482629587128713,0.03039035437623762,0.31676400885148515
30.0,175.0,0.07512459631999999,0.08561170082999997,0.30507040969
30.0,185.0,0.07551685279,0.13794520631999999,0.28429822726
30.0,195.0,0.0758653459108911,0.18600130725742575,0.2546306200594059
30.0,205.0,0.07634203607,0.22834462346999995,0.21688793953999996
30.0,215.0,0.07653468268316832,0.2634689604356436,0.17219445536633662
30.0,225.0,0.07663532319,0.29031332078,0.12239565799000002
