,CHI,OMEGA,OMEGA_Cont,X_LUT,Y_LUT,Z_LUT
135,10.0,317.5,677.5,-0.010560669856287286,0.04396302028143712,0.015271775389221627
136,10.0,322.5,682.5,-0.010551691060975497,0.04492487418292683,0.01132349126829275
137,10.0,327.5,687.5,-0.010604880142857003,0.0457503664404762,0.007359290333333403
138,10.0,332.5,692.5,-0.01065721856024084,0.04630288424698795,0.0033499563373494677
139,10.0,337.5,697.5,-0.010676087156626378,0.04678192871686747,-0.0008331115722890932
140,10.0,342.5,702.5,-0.01069243040476179,0.04689238969047619,-0.005047334142857077
141,10.0,347.5,707.5,-0.010739364765060122,0.04645929789759037,-0.00920248295180716
142,10.0,352.5,712.5,-0.010794342910179496,0.04570673646107785,-0.013346694604790358
143,10.0,357.5,717.5,-0.010657704203784441,0.0438966079272198,-0.019394545146288144
144,20.0,2.5,722.5,-0.025947752844036557,0.10567363284403669,-0.04329048653669717
145,20.0,7.5,727.5,-0.02589945596385531,0.10109312771084338,-0.053778607777108356
146,20.0,12.5,732.5,-0.025954473797618928,0.09646881976785716,-0.06247057972619041
147,20.0,17.5,737.5,-0.0259474846385541,0.09085124798192772,-0.07058251993373488
148,20.0,22.5,742.5,-0.025882862309090766,0.08436817827878787,-0.07819955546060599
149,20.0,27.5,747.5,-0.025887727325301077,0.07749565011445783,-0.08562568841566258
150,20.0,32.5,752.5,-0.02582254523214274,0.0697826692202381,-0.09242950044642852
151,20.0,37.5,757.5,-0.02577390757575742,0.061414970866666675,-0.09841366574545449
152,20.0,42.5,762.5,-0.02565505976646693,0.052626561155688624,-0.10353834242514967
153,20.0,47.5,767.5,-0.02553360355151499,0.04351934664242424,-0.10787363147878783
154,20.0,52.5,772.5,-0.025412543686746888,0.03397690845783133,-0.11128926052409634
155,20.0,57.5,777.5,-0.02534305615476176,0.02397283217857143,-0.11427542833928565
156,20.0,62.5,782.5,-0.02523282537951796,0.013956066078313257,-0.1158890503915662
157,20.0,67.5,787.5,-0.025147965506023964,0.0036955793493975934,-0.1167138030481927
158,20.0,72.5,792.5,-0.02500167107185615,-0.006808548209580836,-0.11669846122155683
159,20.0,77.5,797.5,-0.024887339323353182,-0.017139553425149695,-0.11581959565269456
160,20.0,82.5,802.5,-0.02473622061818169,-0.027262555890909087,-0.11406137518181814
161,20.0,87.5,807.5,-0.02462991345833319,-0.03725081001190476,-0.11130251462499995
162,20.0,92.5,812.5,-0.02453060681176458,-0.04707831994705882,-0.10760359993529406
163,20.0,97.5,817.5,-0.02439493124242412,-0.0563422874060606,-0.10318849274545448
164,20.0,102.5,822.5,-0.024310881789156497,-0.06509068992168675,-0.09794721883132523
165,20.0,107.5,827.5,-0.024279020103030194,-0.07349378229696969,-0.09203904315151511
166,20.0,112.5,832.5,-0.02417645063690464,-0.08109571499999998,-0.08524103463095233
167,20.0,117.5,837.5,-0.02416489979268277,-0.08835245832926829,-0.07801611387195115
