OMEGA,Radius,AI0,AI1,Counter,Sequenz1,Sequenz2,Sekunden1,Sekunden1,NaoSek1,NanoSek2,DMS1,DMS2,DMS3,CHI,PHI
359.8252258300781,4.990843772888184,4.8810224533081055,0.038821082562208176,0,33436295,27483490,1626350269,1626350269,475178738,478602399,6004099199.0,-39951185.0,-169183837.0,-2.127113010268508e-06,-6.1e-08
359.8493347167969,4.9930877685546875,4.883223056793213,0.040864404290914536,0,33436296,27483490,1626350269,1626350269,479990773,478602399,6004099199.0,-39951185.0,-169183837.0,-2.127113010268508e-06,-6.1e-08
359.8475036621094,4.994213104248047,4.8843231201171875,0.04070722684264183,0,33436297,27483491,1626350269,1626350269,484961147,484594977,6004077582.0,-39928367.0,-169199377.0,-2.127113010268508e-06,-6.1e-08
359.81219482421875,4.98827600479126,4.878507614135742,0.03772083297371864,0,33436298,27483492,1626350269,1626350269,489994484,490627656,6004068582.0,-39940234.0,-169200093.0,-9.753461952720307e-07,-6.832000000000001e-06
359.8326721191406,4.992127895355225,4.882279872894287,0.03944979980587959,0,33436299,27483493,1626350269,1626350269,494962334,496686316,6004075034.0,-39945143.0,-169200553.0,-9.753461952720307e-07,-6.832000000000001e-06
359.7698669433594,4.993432521820068,4.883537292480469,0.03410572558641434,0,33436300,27483494,1626350269,1626350269,500026519,502847213,6004079598.0,-39944763.0,-169184001.0,-9.753461952720307e-07,-6.832000000000001e-06
359.7660217285156,4.990058422088623,4.880236625671387,0.03379136696457863,0,33436301,27483495,1626350269,1626350269,505038540,508658962,6004085166.0,-39936021.0,-169180653.0,-2.250202630364643e-06,6.651e-06
359.79742431640625,4.989083766937256,4.879293441772461,0.036463405936956406,0,33436302,27483495,1626350269,1626350269,510278678,508658962,6004085166.0,-39936021.0,-169180653.0,-2.250202630364643e-06,6.651e-06
359.8510437011719,4.988748073577881,4.878979206085205,0.04102158546447754,0,33436303,27483496,1626350269,1626350269,516595077,516764418,6004094201.0,-39940709.0,-169173867.0,-2.250202630364643e-06,6.651e-06
359.7938232421875,4.99165678024292,4.881808280944824,0.0361490473151207,0,33436304,27483497,1626350269,1626350269,519962956,523331678,6004102596.0,-39944724.0,-169164785.0,-2.250202630364643e-06,6.651e-06
359.804931640625,4.99229621887207,4.882437229156494,0.037092119455337524,0,33436305,27483498,1626350269,1626350269,524966406,528654402,6004115794.0,-39972506.0,-169141402.0,-2.250202630364643e-06,6.651e-06
359.812255859375,4.9898834228515625,4.880079746246338,0.03772083297371864,0,33436306,27483499,1626350269,1626350269,530887201,534670763,6004113902.0,-39973243.0,-169127994.0,2.6953607561724186e-06,1.9020000000000002e-06
359.8308410644531,4.992610454559326,4.88275146484375,0.03929261863231659,0,33436307,27483499,1626350269,1626350269,535139966,534670763,6004113902.0,-39973243.0,-169127994.0,2.6953607561724186e-06,1.9020000000000002e-06
359.84185791015625,4.990518569946289,4.88070821762085,0.04023569077253342,0,33436308,27483501,1626350269,1626350269,540830975,546659979,6004094515.0,-39980548.0,-169119032.0,2.6953607561724186e-06,1.9020000000000002e-06
359.8140563964844,4.989078998565674,4.879293441772461,0.03787801042199135,0,33436309,27483502,1626350269,1626350269,545065784,552623661,6004082270.0,-39994490.0,-169102467.0,-7.855071915191888e-08,9.370000000000001e-07
359.7883605957031,4.993747711181641,4.883852005004883,0.03567751124501228,0,33436310,27483502,1626350269,1626350269,550072379,552623661,6004082270.0,-39994490.0,-169102467.0,-7.855071915191888e-08,9.370000000000001e-07
359.7919921875,4.992300033569336,4.882437229156494,0.03599186986684799,0,33436311,27483503,1626350269,1626350269,554992713,558578139,6004080303.0,-40006821.0,-169101003.0,-7.855071915191888e-08,9.370000000000001e-07
359.78631591796875,4.988605976104736,4.878822326660156,0.03552033379673958,0,33436312,27483503,1626350269,1626350269,560207574,558578139,6004080303.0,-40006821.0,-169101003.0,-7.855071915191888e-08,9.370000000000001e-07
359.79193115234375,4.990211009979248,4.880393981933594,0.03599186986684799,0,33436313,27483504,1626350269,1626350269,565742094,564636254,6004063480.0,-39996108.0,-169101650.0,-7.855071915191888e-08,9.370000000000001e-07
